"Hispanic","White","Black","Native","Asian_Pacific"
0.299,0.006,0.165,0.008,0.462
0.051,0.819,0.057,0,0.068
0.441,0.245,0.198,0,0.106
0.253,0.457,0.196,0,0.021
0.189,0.554,0.215,0.035,0
0,0.358,0.597,0.011,0
0.006,0.86,0.076,0,0.002
0.196,0.391,0.396,0,0
0.042,0.62,0.278,0.007,0.003
0,0.117,0.854,0.001,0.018
0.069,0.104,0.81,0,0
0.091,0.51,0.342,0.033,0
0.066,0.838,0.068,0.003,0.012
0.015,0.862,0.095,0,0.009
0.03,0.537,0.424,0,0
0.001,0,0.986,0,0
0.023,0.649,0.25,0,0.017
0.02,0.68,0.208,0.002,0.003
0,0.96,0,0.006,0
0.012,0.921,0.039,0,0
0.036,0.524,0.369,0.002,0
0.011,0.931,0.016,0,0.041
0,0.898,0.053,0,0.011
0.031,0.751,0.01,0.099,0
0.038,0.847,0,0.074,0
0.014,0.819,0.003,0.1,0
0.07,0.776,0.008,0.05,0.007
0.024,0.481,0.237,0.181,0.008
0.035,0.371,0.42,0.09,0.003
0.16,0.572,0.102,0.045,0.061
0.585,0.324,0.01,0.036,0.004
0.564,0.36,0,0.032,0.003
0.453,0.377,0.051,0.044,0.011
0.036,0.841,0.007,0.009,0.048
0.028,0.739,0.062,0.115,0.004
0.041,0.674,0.006,0.147,0.003
0.055,0.704,0.091,0.072,0.026
0.042,0.828,0.004,0.099,0.005
0.104,0.572,0.171,0.077,0.024
0.04,0.631,0.201,0.056,0.003
0.035,0.945,0.005,0.003,0.001
0.131,0.796,0.029,0.009,0.007
0.127,0.767,0.055,0.004,0.019
0.327,0.579,0.003,0.004,0.038
0.073,0.661,0.048,0.022,0.12
0.254,0.637,0.007,0,0.076
0.085,0.876,0.009,0,0.023
0.029,0.29,0.566,0.001,0.07
0.479,0.385,0.081,0,0.003
0.324,0.409,0.17,0,0.092
0.305,0.572,0.077,0.002,0.019
0.041,0.751,0.192,0.004,0.003
0.074,0.913,0.004,0,0.009
0.037,0.824,0.11,0,0.007
0.158,0.171,0.638,0,0
0.032,0.844,0.092,0,0.012
0.011,0.67,0.283,0,0.022
0.041,0.705,0.238,0,0.001
0.067,0.7,0.154,0,0.04
0.032,0.693,0.197,0.002,0.05
0.03,0.667,0.253,0,0.013
0.033,0.854,0.103,0.002,0
0.252,0.43,0.221,0.017,0.034
0.01,0.981,0,0,0.005
0.011,0.384,0.581,0,0.016
0.52,0.292,0.156,0,0.023
0,0.021,0.979,0,0
0.5,0.488,0,0,0.011
0.601,0.238,0.131,0,0.022
0.448,0.408,0.104,0,0.025
0.677,0.276,0.041,0.003,0.003
0.315,0.536,0.091,0,0.011
0.578,0.356,0.057,0,0.003
0.709,0.123,0.161,0,0.004
0.241,0.367,0.162,0.001,0.209
0.166,0.006,0.815,0,0
0.745,0.172,0.067,0,0.004
0.887,0.073,0.039,0,0.002
0.793,0.097,0.041,0.013,0.046
0.51,0.279,0.129,0,0.06
0.195,0.416,0.368,0,0.007
0.582,0.183,0.213,0.005,0.018
0.584,0.082,0.303,0.018,0.005
0.584,0.071,0.298,0,0.023
0.748,0.084,0.135,0.002,0.004
0.329,0.278,0.234,0.018,0.141
0.31,0.049,0.392,0,0.221
0.476,0.197,0.297,0,0.022
0.716,0.199,0.051,0,0.001
0.086,0.591,0.255,0.024,0.006
0.412,0.388,0.133,0.007,0
0.042,0.918,0.012,0.01,0.015
0.114,0.847,0.008,0.004,0.004
0.97,0.03,0,0,0
0.913,0.084,0.002,0.001,0
0.753,0.211,0.015,0.006,0.011
0.057,0.872,0.026,0,0.019
0.165,0.684,0.132,0,0.014
0.165,0.585,0.117,0,0.11
0.315,0.418,0.124,0,0.124
0.192,0.701,0.017,0.001,0.082
0.394,0.485,0.06,0,0.032
0.702,0.214,0.019,0,0.01
0.094,0.848,0.021,0.002,0
0.208,0.758,0.01,0.002,0.017
0.967,0.029,0.004,0,0
0.029,0.93,0,0.002,0
0.069,0.905,0.016,0,0.005
0.123,0.797,0.002,0,0.042
0.125,0.827,0.016,0,0.026
0.321,0.642,0.002,0.001,0.024
0.23,0.529,0.17,0,0.047
0.147,0.514,0.254,0,0.038
0.068,0.585,0.199,0,0.094
0.156,0.778,0.062,0,0
0.015,0.928,0.034,0,0
0.08,0.24,0.629,0.003,0.032
0.035,0.347,0.567,0,0
0.022,0.838,0.088,0.016,0.007
0.236,0.728,0.003,0.001,0.007
0.092,0.772,0.035,0.026,0.026
0.75,0.194,0.021,0.001,0.03
0.17,0.746,0.003,0.051,0.001
0.077,0.517,0.212,0.028,0.098
0.137,0.464,0.128,0.002,0.153
0.277,0.56,0.076,0.01,0.034
0.1,0.723,0.043,0.01,0.041
0.171,0.793,0.001,0.005,0.007
0.004,0.971,0.015,0.004,0.001
0,0.997,0.002,0,0
0.056,0.742,0.099,0.008,0.033
0.044,0.88,0.03,0,0.023
0.175,0.681,0.021,0.005,0.079
0.311,0.567,0.105,0,0.013
0.188,0.751,0.01,0.003,0.007
0.05,0.914,0.018,0,0.003
